id, d, s,c,score,,,
1,24.35669941,0.001,25.6574542,0.109660819,,,
2,16.78407815,0.001,53.23658464,9.060634822,,,
3,77.97460822,0.001,170.7624759,3.795992369,,,
4,88.21323897,0.001,195.1771969,3.895427416,,,
5,80.33247561,0.003,184.2524866,4.260710628,,,
6,71.08989324,0.001,131.4305161,2.418036551,,,
7,69.86827637,0.001,101.4080714,1.106614105,,,
8,35.21563535,0.001,123.4403564,11.28692698,,,
9,88.71612887,0.001,192.1779249,3.692473548,,,
10,43.05238607,0.002,48.90777772,0.290510098,,,
11,1976.691316,0.003,2499.303244,0.598675051,,,
15,2182.141802,0.003,3571.498662,1.678767651,,,
20,6476.902433,0.002,3722.741427,-0.669637279,,,
25,9260.484845,0.002,9407.331499,0.031966135,,,
30,4378.248911,0.002,5299.416339,0.465059234,,,
35,6990.728279,0.002,7137.354226,0.042388613,,,
40,7812.646507,0.002,8322.441194,0.134762881,,,
45,8107.62837,0.002,5885.624263,-0.473016037,,,
50,17499.38384,0.002,11034.89356,-0.602359343,,,
55,10407.75729,0.002,12242.36872,0.383619262,,,
60,9170.609675,0.002,14941.50875,1.65455965,,,
65,11190.94588,0.002,16950.41873,1.294178849,,,
70,11842.58615,0.002,10088.58671,-0.274282565,,,
75,16358.44969,0.002,23000.23772,0.976880256,,,
80,20352.38947,0.002,26795.67605,0.733399344,,,
85,21686.84184,0.002,36287.89832,1.799825777,,,
90,17039.24083,0.002,12969.49116,-0.420644156,,,
95,6928.187523,0.002,8621.074408,0.54840127,,,
100,20581.74716,0.002,18570.7527,-0.185868543,,,
101,1590160.054,0.022,388798.207,-0.940218497,,,
110,112919.3162,0.023,63693.77311,-0.681831285,,,
120,1296919.782,0.02,313287.3217,-0.941647508,,,
130,436952.7251,0.024,69145.12479,-0.974958853,,,
140,1156933.76,0.021,324675.8243,-0.921244133,,,
150,1571122.232,0.019,306355.8938,-0.961978212,,,
160,1650665.771,0.02,223679.7158,-0.981637369,,,
170,1591900.979,0.018,730076.3093,-0.789668455,,,
180,132119.6906,0.021,87896.89042,-0.557399474,,,
190,1223093.584,0.019,284872.728,-0.94575217,,,
200,3415554.377,0.018,541705.8394,-0.974846141,,,
210,2372202.361,0.02,409420.7609,-0.970212349,,,
220,2601638.923,0.019,306690.5435,-0.986103459,,,
230,2971194.413,0.019,462065.2594,-0.975815089,,,
240,1632953.858,0.017,386928.0944,-0.943854791,,,
250,1648099.662,0.019,479425.8961,-0.915379412,,,
260,574039.7577,0.02,390724.193,-0.536706016,,,
270,2464079.336,0.02,542139.92,-0.951592417,,,
280,3368721.992,0.018,937130.6035,-0.922612664,,,
290,2455417.696,0.018,457172.9485,-0.965333477,,,
300,4556032.745,0.018,779196.6766,-0.970750361,,,
310,2903081.78,0.018,491000.1736,-0.971394816,,,
320,1890954.539,0.019,348854.2034,-0.965965001,,,
330,1660754.261,0.018,548084.1853,-0.891085979,,,
340,6603062.677,0.017,1626989.137,-0.939287451,,,
350,5543745.693,0.016,1333061.915,-0.942177876,,,
360,4885212.018,0.017,966480.1203,-0.960860163,,,
370,1415605.406,0.017,620612.7522,-0.807798415,,,
380,2717541.854,0.018,441828.9594,-0.973566427,,,
390,5693940.747,0.018,984963.5299,-0.970076361,,,
400,3118626.164,0.017,834053.5607,-0.928474444,,,
410,6600218.202,0.019,995704.8847,-0.977241445,,,
420,4677772.575,0.017,1363450.644,-0.915042713,,,
430,5852412.637,0.017,1793481.147,-0.906087424,,,
440,3079886.709,0.018,909473.4461,-0.912801189,,,
450,4914478.106,0.017,992892.3979,-0.959182203,,,
460,4069601.618,0.018,1035609.039,-0.935242829,,,
470,3042724.65,0.017,854399.5368,-0.921150907,,,
480,3041818.684,0.017,1022631.608,-0.886975713,,,
490,2380089.355,0.019,1105274.75,-0.78434776,,,
500,4343573.44,0.017,832656.2839,-0.963251705,,,
510,5229593.928,0.02,1379527.466,-0.930413536,,,
520,2647993.096,0.017,904613.9695,-0.883294081,,,
530,3976463.107,0.018,964209.6149,-0.941203835,,,
540,4669322.342,0.017,1387399.407,-0.911713297,,,
550,5541188.331,0.019,845038.0644,-0.976743373,,,
560,4996337.315,0.017,1270812.622,-0.935306665,,,
570,5498772.882,0.017,1944604.581,-0.874936366,,,
580,6240068.426,0.018,1688824.725,-0.926752897,,,
590,3860373.914,0.024,1102305.61,-0.918464772,,,
600,2499151.981,0.018,1061264.336,-0.819672565,,,
610,5478622.714,0.017,888581.0136,-0.973694215,,,
620,4050714.19,0.017,1066949.218,-0.930621597,,,
630,3473707.149,0.017,1835652.692,-0.720749071,,,
640,2544164.558,0.017,1749039.233,-0.527383689,,,
650,5915032.622,0.019,1854881.166,-0.901662787,,,
660,7636238.236,0.017,1613187.119,-0.955371679,,,
670,4803648.966,0.017,1607571.808,-0.888005103,,,
680,8252482.562,0.017,1971487.554,-0.942928558,,,
690,5329573.359,0.021,1096209.049,-0.957694009,,,
700,7546257.483,0.02,1970648.545,-0.931804595,,,
710,4724228.053,0.017,2664154.205,-0.681978114,,,
720,4508391.82,0.018,2279611.661,-0.744330788,,,
730,5508415.908,0.017,1757181.572,-0.898239359,,,
740,5850217.778,0.017,1594021.098,-0.925758957,,,
750,5766833.818,0.017,1896573.545,-0.891840542,,,
760,5363562.462,0.017,1675257.019,-0.902443501,,,
770,4495867.618,0.017,2381994.196,-0.719292273,,,
780,5150057.561,0.017,2124763.608,-0.829785297,,,
790,6212551.981,0.017,1860464.053,-0.910318576,,,
800,4910819.75,0.017,1661989.214,-0.885462311,,,
810,6206712.14,0.017,2230501.265,-0.870853768,,,
820,6051303.232,0.019,1746511.355,-0.916700001,,,
830,7730519.653,0.016,2760486.877,-0.872487137,,,
840,6909828.795,0.018,1589902.258,-0.947057277,,,
850,5516691.339,0.017,2328174.493,-0.821895996,,,
860,5667250.873,0.016,2508008.38,-0.804154728,,,
870,5193404.768,0.018,3090965.242,-0.645771175,,,
880,5242045.76,0.017,2611525.765,-0.751808437,,,
890,5632371.182,0.017,2234688.165,-0.842583112,,,
900,5321678.033,0.016,2644682.285,-0.753026805,,,
910,4284466.887,0.018,1406921.667,-0.892168349,,,
920,2589564.692,0.017,2491291.163,-0.074459462,,,
930,8907732.342,0.016,2506073.812,-0.920849548,,,
940,5696417.907,0.017,1791559.453,-0.901085772,,,
950,5184060.6,0.017,2851771.978,-0.697385694,,,
960,5180452.426,0.017,2244049.361,-0.812358269,,,
970,4703145.277,0.018,1951695.446,-0.827794384,,,
980,5510892.23,0.017,3006522.626,-0.702364235,,,
990,7246013.041,0.017,4179213.766,-0.66734738,,,
1000,6076890.622,0.017,2680367.522,-0.80545241,,,
1001,8.75E+07,0.107,6980325.459,-0.993634711,,,
1020,1.70E+08,0.121,8486804.91,-0.997501566,,,
1040,1.95E+08,0.111,6286661.537,-0.998962338,,,
1060,3.44E+08,0.109,1.24E+07,-0.998703685,,,
1080,1.19E+08,0.112,5977299.86,-0.997490989,,,
1100,1.81E+08,0.112,8866485.637,-0.997588086,,,
1120,1.35E+08,0.106,9181844.075,-0.995358097,,,
1140,2.14E+08,0.139,6507533.802,-0.999072561,,,
1160,2.87E+08,0.11,1.36E+07,-0.997760526,,,
1180,1.78E+08,0.113,5060466.117,-0.999192286,,,
1200,2.35E+08,0.113,7375648.495,-0.999016272,,,
1220,1.95E+08,0.108,1.18E+07,-0.996326114,,,
1240,2.30E+08,0.109,1.06E+07,-0.997869441,,,
1260,4.18E+08,0.11,1.58E+07,-0.998570334,,,
1280,2.10E+08,0.119,3981796.839,-0.999639455,,,
1300,1.63E+08,0.114,9659310.184,-0.996485933,,,
1320,3.85E+08,0.11,1.05E+07,-0.999254696,,,
1340,2.78E+08,0.113,1.51E+07,-0.997051693,,,
1360,2.17E+08,0.112,8658899.244,-0.998407773,,,
1380,1.30E+08,0.13,9403196.361,-0.994740966,,,
1400,4.59E+08,0.122,1.28E+07,-0.999221967,,,
1420,2.47E+08,0.12,1.01E+07,-0.998324811,,,
1440,1.88E+08,0.115,9378419.03,-0.997512672,,,
1460,3.45E+08,0.11,1.23E+07,-0.998730602,,,
1480,2.19E+08,0.129,8117617.141,-0.998628077,,,
1500,4.77E+08,0.114,1.63E+07,-0.998834366,,,
1520,1.89E+08,0.108,8816856.109,-0.997824944,,,
1540,3.02E+08,0.11,8093298.636,-0.99928364,,,
1560,3.62E+08,0.105,2.18E+07,-0.996369714,,,
1580,3.90E+08,0.11,2.08E+07,-0.997148637,,,
1600,3.17E+08,0.108,1.11E+07,-0.998774447,,,
1620,1.75E+08,0.107,1.03E+07,-0.996547544,,,
1640,3.32E+08,0.11,1.06E+07,-0.998980571,,,
1660,5.41E+08,0.108,3.27E+07,-0.996349734,,,
1680,3.38E+08,0.105,1.19E+07,-0.998758384,,,
1700,3.70E+08,0.112,2.03E+07,-0.996988374,,,
1720,2.21E+08,0.11,1.16E+07,-0.997253359,,,
1740,5.24E+08,0.106,2.72E+07,-0.997304985,,,
1760,3.03E+08,0.108,2.53E+07,-0.993023071,,,
1780,4.63E+08,0.105,1.53E+07,-0.998905747,,,
1800,1.74E+08,0.105,1.50E+07,-0.992563363,,,
1820,3.35E+08,0.112,1.20E+07,-0.998718075,,,
1840,4.29E+08,0.108,1.78E+07,-0.998276791,,,
1860,3.56E+08,0.109,9408373.242,-0.999300265,,,
1880,5.55E+08,0.104,4.16E+07,-0.994377987,,,
1900,5.04E+08,0.107,2.06E+07,-0.998326381,,,
1920,4.52E+08,0.106,1.46E+07,-0.998957146,,,
1940,4.68E+08,0.105,2.37E+07,-0.997430169,,,
1960,3.79E+08,0.108,1.55E+07,-0.998331713,,,
1980,5.36E+08,0.11,3.22E+07,-0.996393651,,,
2000,3.73E+08,0.112,3.51E+07,-0.991160639,,,
2020,5.87E+08,0.106,1.65E+07,-0.999209543,,,
2040,4.11E+08,0.106,3.51E+07,-0.992694088,,,
2060,4.13E+08,0.107,2.32E+07,-0.996844488,,,
2080,7.13E+08,0.105,4.19E+07,-0.996546152,,,
2100,4.32E+08,0.109,2.52E+07,-0.996591008,,,
2120,6.49E+08,0.111,1.97E+07,-0.999078486,,,
2140,6.05E+08,0.112,3.42E+07,-0.996807823,,,
2160,4.55E+08,0.107,2.33E+07,-0.997376386,,,
2180,4.03E+08,0.116,1.42E+07,-0.99875862,,,
2200,5.16E+08,0.111,2.15E+07,-0.998261297,,,
2220,4.87E+08,0.117,1.89E+07,-0.998491206,,,
2240,6.98E+08,0.114,3.19E+07,-0.997909459,,,
2260,5.17E+08,0.116,1.81E+07,-0.998772337,,,
2280,5.20E+08,0.114,2.63E+07,-0.997444613,,,
2300,3.62E+08,0.11,3.32E+07,-0.991568816,,,
2320,3.95E+08,0.109,2.21E+07,-0.996867283,,,
2340,5.09E+08,0.11,2.96E+07,-0.996620201,,,
2360,4.74E+08,0.109,2.00E+07,-0.998219314,,,
2380,4.45E+08,0.109,1.27E+07,-0.999187033,,,
2400,5.49E+08,0.104,1.62E+07,-0.999127789,,,
2420,4.27E+08,0.11,3.85E+07,-0.991863936,,,
2440,4.36E+08,0.106,2.69E+07,-0.996193657,,,
2460,5.50E+08,0.125,2.27E+07,-0.998294007,,,
2480,7.78E+08,0.106,3.54E+07,-0.997927244,,,
2500,6.78E+08,0.109,3.42E+07,-0.997451873,,,
2520,4.00E+08,0.108,2.32E+07,-0.996629892,,,
2540,6.66E+08,0.111,2.09E+07,-0.999015574,,,
2560,5.46E+08,0.109,1.90E+07,-0.998787066,,,
2580,9.56E+08,0.108,6.09E+07,-0.995940056,,,
2600,4.76E+08,0.109,2.12E+07,-0.998017633,,,
2620,4.50E+08,0.112,3.11E+07,-0.995222764,,,
2640,6.53E+08,0.108,4.66E+07,-0.994901231,,,
2660,6.02E+08,0.114,3.63E+07,-0.996365222,,,
2680,5.21E+08,0.114,3.72E+07,-0.994893782,,,
2700,6.62E+08,0.117,3.91E+07,-0.996511492,,,
2720,6.92E+08,0.121,2.55E+07,-0.998640329,,,
2740,5.59E+08,0.115,3.53E+07,-0.996010643,,,
2760,8.18E+08,0.157,5.52E+07,-0.995441533,,,
2780,7.07E+08,0.15,5.42E+07,-0.994125312,,,
2800,4.96E+08,0.138,2.06E+07,-0.998272338,,,
2820,3.94E+08,0.142,2.27E+07,-0.996673736,,,
2840,7.91E+08,0.164,3.41E+07,-0.998141879,,,
2860,9.63E+08,0.134,5.83E+07,-0.996335737,,,
2880,5.07E+08,0.131,2.98E+07,-0.996540319,,,
2900,4.58E+08,0.157,2.94E+07,-0.99587279,,,
2920,7.01E+08,0.163,3.68E+07,-0.99724467,,,
2940,6.46E+08,0.138,5.11E+07,-0.993745883,,,
2960,5.95E+08,0.152,4.60E+07,-0.994024073,,,
2980,6.85E+08,0.139,3.49E+07,-0.997406172,,,
3000,7.27E+08,0.127,4.16E+07,-0.99672301,,,
3020,8.34E+08,0.125,6.28E+07,-0.994332943,,,
3040,6.55E+08,0.13,3.89E+07,-0.996472968,,,
3060,7.54E+08,0.132,4.71E+07,-0.996098835,,,
3080,5.42E+08,0.146,3.20E+07,-0.996511423,,,
3100,1.02E+09,0.126,4.79E+07,-0.997778382,,,
3120,6.51E+08,0.139,5.27E+07,-0.993437097,,,
3140,7.60E+08,0.127,6.57E+07,-0.992534998,,,
3160,6.72E+08,0.124,3.98E+07,-0.996489985,,,
3180,7.67E+08,0.138,5.96E+07,-0.993967838,,,
3200,5.93E+08,0.14,5.10E+07,-0.992596797,,,
3220,8.08E+08,0.155,4.73E+07,-0.996572908,,,
3240,6.30E+08,0.173,3.49E+07,-0.996935668,,,
3260,8.90E+08,0.164,6.34E+07,-0.994930672,,,
3280,5.31E+08,0.151,4.67E+07,-0.992258285,,,
3300,8.29E+08,0.17,6.09E+07,-0.994607705,,,
3320,5.23E+08,0.155,4.72E+07,-0.991847696,,,
3340,7.64E+08,0.189,4.82E+07,-0.996017167,,,
3360,6.91E+08,0.135,4.41E+07,-0.995927754,,,
3380,6.82E+08,0.113,4.76E+07,-0.995134596,,,
3400,7.49E+08,0.138,4.56E+07,-0.996290247,,,
3420,6.83E+08,0.12,3.13E+07,-0.99790285,,,
3440,8.29E+08,0.111,5.70E+07,-0.995275319,,,
3460,8.11E+08,0.113,8.63E+07,-0.988678996,,,
3480,8.70E+08,0.105,5.84E+07,-0.995496435,,,
3500,5.78E+08,0.105,5.66E+07,-0.990409185,,,
3520,8.29E+08,0.117,5.81E+07,-0.995090137,,,
3540,8.51E+08,0.112,5.38E+07,-0.99600168,,,
3560,6.01E+08,0.117,5.68E+07,-0.991056397,,,
3580,5.08E+08,0.111,3.87E+07,-0.994196649,,,
3600,6.56E+08,0.106,4.74E+07,-0.994785789,,,
3620,1.02E+09,0.112,6.92E+07,-0.995407164,,,
3640,7.78E+08,0.108,5.56E+07,-0.994889518,,,
3660,8.07E+08,0.109,6.49E+07,-0.993529859,,,
3680,5.99E+08,0.105,5.25E+07,-0.992325087,,,
3700,7.01E+08,0.118,6.14E+07,-0.992334541,,,
3720,8.54E+08,0.113,7.19E+07,-0.99290653,,,
3740,8.64E+08,0.112,6.37E+07,-0.994559666,,,
3760,7.38E+08,0.11,8.32E+07,-0.987289622,,,
3780,5.45E+08,0.105,5.03E+07,-0.991497121,,,
3800,9.60E+08,0.106,7.26E+07,-0.994277553,,,
3820,1.01E+09,0.106,5.63E+07,-0.996898039,,,
3840,5.68E+08,0.108,4.24E+07,-0.994428467,,,
3860,1.03E+09,0.114,7.94E+07,-0.994048653,,,
3880,8.33E+08,0.118,6.97E+07,-0.992993454,,,
3900,7.73E+08,0.109,5.93E+07,-0.99410853,,,
3920,8.67E+08,0.107,5.74E+07,-0.995621588,,,
3940,8.16E+08,0.1,6.37E+07,-0.993912101,,,
3960,9.26E+08,0.105,7.35E+07,-0.993706176,,,
3980,9.41E+08,0.104,6.04E+07,-0.995880224,,,
4000,1.21E+09,0.105,8.58E+07,-0.994947755,,,
4020,8.42E+08,0.104,7.43E+07,-0.992214343,,,
4040,8.75E+08,0.107,8.43E+07,-0.990707484,,,
4060,7.17E+08,0.104,6.12E+07,-0.992717826,,,
4080,9.64E+08,0.103,7.96E+07,-0.99317619,,,
4100,8.32E+08,0.103,5.54E+07,-0.995564683,,,
4120,8.61E+08,0.105,8.67E+07,-0.989861254,,,
4140,1.01E+09,0.103,7.88E+07,-0.993870018,,,
4160,9.57E+08,0.108,6.87E+07,-0.994851342,,,
4180,9.57E+08,0.101,6.92E+07,-0.994769666,,,
4200,1.00E+09,0.104,7.74E+07,-0.994066264,,,
4220,7.31E+08,0.105,8.55E+07,-0.98633556,,,
4240,8.44E+08,0.107,6.78E+07,-0.99354063,,,
4260,5.68E+08,0.101,5.73E+07,-0.989818327,,,
4280,1.01E+09,0.108,7.91E+07,-0.993919137,,,
4300,7.35E+08,0.137,6.89E+07,-0.991221769,,,
4320,1.04E+09,0.103,8.71E+07,-0.992927787,,,
4340,9.62E+08,0.101,6.30E+07,-0.995708339,,,
4360,7.72E+08,0.104,7.80E+07,-0.989803897,,,
4380,6.95E+08,0.103,5.77E+07,-0.993108769,,,
4400,9.90E+08,0.106,7.48E+07,-0.994285735,,,
4420,7.78E+08,0.104,7.03E+07,-0.991833317,,,
4440,9.32E+08,0.102,7.82E+07,-0.992965502,,,
4460,1.01E+09,0.102,8.47E+07,-0.992961516,,,
4480,7.24E+08,0.104,6.56E+07,-0.991793828,,,
4500,6.86E+08,0.1,8.54E+07,-0.984498809,,,
4520,5.66E+08,0.105,6.81E+07,-0.985536889,,,
4540,6.45E+08,0.103,8.79E+07,-0.981429745,,,
4560,1.14E+09,0.1,9.48E+07,-0.993136424,,,
4580,1.34E+09,0.103,7.74E+07,-0.996662446,,,
4600,7.05E+08,0.104,6.01E+07,-0.992730094,,,
4620,1.55E+09,0.102,7.22E+07,-0.997827088,,,
4640,1.18E+09,0.104,1.08E+08,-0.991629613,,,
4660,1.20E+09,0.102,6.92E+07,-0.996649303,,,
4680,8.97E+08,0.103,8.19E+07,-0.991661932,,,
4700,8.81E+08,0.101,7.12E+07,-0.993473849,,,
4720,8.61E+08,0.104,5.79E+07,-0.995481616,,,
4740,5.89E+08,0.1,8.67E+07,-0.978311672,,,
4760,9.33E+08,0.104,7.84E+07,-0.992933876,,,
4780,9.57E+08,0.102,9.41E+07,-0.99032479,,,
4800,8.22E+08,0.101,7.71E+07,-0.991206396,,,
4820,9.68E+08,0.103,1.03E+08,-0.988672909,,,
4840,1.00E+09,0.103,9.25E+07,-0.991491865,,,
4860,1.00E+09,0.102,6.46E+07,-0.99584005,,,
4880,7.62E+08,0.102,7.68E+07,-0.989854121,,,
4900,8.71E+08,0.1,7.49E+07,-0.992612697,,,
4920,9.39E+08,0.105,7.55E+07,-0.993536368,,Score:,
4940,7.71E+08,0.1,7.34E+07,-0.990943923,,-231.46209,
4960,8.34E+08,0.105,8.52E+07,-0.989553319,,,
4980,1.16E+09,0.104,8.40E+07,-0.994725404,,Total time:,
5000,9.11E+08,0.103,1.29E+08,-0.979963508,,24.731,seconds
,,,,,,0.412183333,minutes
